"compoundId","Early_1-pbs_751-1","Early_1-pbs_751-2","Early_1-pbs_751-3","Early_1-pbs_752-4","Early_1-pbs_752-5","Early_1-pbs_752-6","Early_2-ct26_739-1","Early_2-ct26_739-2","Early_2-ct26_739-3","Early_2-ct26_740-4","Early_2-ct26_740-5","Early_2-ct26_740-6","Early_3-c26_747-1","Early_3-c26_747-2","Early_3-c26_747-3","Early_3-c26_748-4","Early_3-c26_748-5","Early_3-c26_748-6","Mid_1-pbs_749-1","Mid_1-pbs_749-2","Mid_1-pbs_749-3","Mid_1-pbs_750-4","Mid_1-pbs_750-5","Mid_1-pbs_750-6","Mid_2-ct26_735-1","Mid_2-ct26_735-2","Mid_2-ct26_735-3","Mid_2-ct26_736-4","Mid_2-ct26_736-5","Mid_2-ct26_736-6","Mid_3-c26_745-1","Mid_3-c26_745-2","Mid_3-c26_745-3","Mid_3-c26_746-4","Mid_3-c26_746-5","Mid_3-c26_746-6"
"(-)-Caryophyllene oxide",66480.7729378855,59676.5809593863,36825.7984217238,73253.0370199438,56889.7407270931,67957.4844472339,46814.9324251934,26727.3687689019,60262.7102278919,15893.0926885295,49721.9302747044,59136.6853414706,26035.5386324107,39378.6115716992,56981.6692850462,119717.470729224,70183.515709334,33022.1060243171,6006134.26285777,3948801.75838357,3028199.66559616,117624.614052328,3723786.49026657,5775604.5241619,4671119.54376513,7384741.88116922,6702469.62322585,4015941.83457137,4309193.90209342,3511585.83511845,3945601.41525208,4711626.36502233,5979031.74664033,270834.988047285,3140577.27688904,5093606.11937082
"(+/-)12(13)-DiHOME",498431.779695072,327027.949088587,710832.028539375,846323.726605628,718198.592528647,669881.314939446,407934.305387436,385847.233971637,339014.784703407,451627.965358097,753725.128557435,1313105.12974378,439680.190476459,532302.027122037,1027397.29174499,1467791.68899262,1133794.17963134,861146.482707639,2541762.99667043,1550453.35988878,2446258.2972448,1406873.47977464,2393384.29461805,2898747.43632674,1905236.64857628,5761721.95379678,4383944.86639726,2664228.91757111,3992525.26322442,3502001.83592287,1892335.15474449,2113489.90939788,17164676.0740138,2563122.20024824,2645619.11664239,4219959.43577939
"(+/-)9,10-dihydroxy-12Z-octadecenoic acid",247312.80552774,56825.3799007328,319510.558576441,417923.221740134,134320.926630308,224657.346581008,98346.5653350298,114737.690924182,97358.3534232536,115125.804943095,348086.115845058,327675.263538556,167302.274599592,225461.817388136,380735.216750482,297490.332139436,432795.792936339,282383.54826347,937779.151220113,550476.946563782,839133.931166409,358323.346700677,963791.332828443,1167117.53657096,637096.417412541,2820969.47703844,2203200.31283317,1146055.00816299,1376265.00908549,1299043.06771063,591746.073718966,630047.004489112,10169973.3409325,669592.933346877,1199476.74336153,1491986.8775778
"(10Z,12Z)-octadeca-10,12-dienoylcarnitine",1754071.60319095,1881815.22930857,3010306.17779003,2374531.9670274,3594308.7683515,2452023.57066058,1903847.77093012,2275879.37222814,2288753.64238014,1748026.63662237,3518391.50063798,3594342.99869033,2087544.28193613,2665602.35249623,2641568.74616822,7563021.5627664,3805395.35281659,3137808.6736427,2253239.16728935,2040224.79654923,3655936.27322583,2029911.31263902,2302680.65926122,1997850.7947296,2962714.0627893,3425510.92516832,2820542.64197664,3125366.44485767,4608516.89812165,6521977.69457976,2458545.33465194,2470122.75738096,3225233.93139262,4630516.32197174,5408615.40743757,4345455.95532868
"(13Z,16Z)-hexacosa-13,16-dienoic acid",3754.13062444167,3638.32765943044,3729.66785080407,3311.78518541111,3519.08245113786,3534.81224890551,2277.14553937075,2652.43019679283,2145.69,2976.87427098113,2203.36574795866,4207.29388395517,2857.93364199515,2926.82062493724,2619.54566092359,4344.49650966865,5634.66223069785,3450.99700633393,3958.61338465589,1701.78229371129,2821.23057455675,2790.31199318346,4044.05303639726,4278.08926615378,4199.72040397102,4224.07485061007,4172.20769580764,5456.26782605254,2995.65981538654,5196.78511175697,1632.99221793394,4449.50369063386,1830.13382910182,5762.83832831852,2635.62874310374,6142.14289027838
"(17Z)-tricos-17-enoic acid",59848.097210402,59829.8424979443,117356.80670008,116963.409464425,95817.5710415644,77503.7211319886,59173.1257248501,36485.9865112299,39996.0073034366,40167.4614564548,63180.1874567407,57992.9139036694,44594.275995212,95428.0594195126,63240.6298290422,131440.453488407,125165.672484606,59586.0873480615,117205.648749039,71556.5385136281,73250.483048639,114333.416306069,82451.5688297822,72217.7625549027,93567.167756076,78769.2106298628,41030.6079858719,105003.786786626,79520.6863176387,78132.2248049381,50490.4856469072,45011.5285054629,22300.6538050249,104909.997247723,54118.4821185263,67032.7082089857
"(1S,4aS,6S,7R,7aS)-6-hydroxy-7-methyl-1-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1H,4aH,5H,6H,7H,7aH-cyclopenta[c]pyran-4-carboxylic acid",33158.6661906605,36302.810350995,37034.3963099952,30642.3736329141,35053.7051033646,29137.6449327311,37401.7781100694,35332.2005313981,42463.8004661497,43281.2511014151,45206.0428759681,572010.519908178,58208.3177678487,49258.2526768308,67493.1173902108,1796251.29059072,38084.5152402265,36814.2416247851,67020.6205675192,84981.4852524416,114964.08731185,56372.8971368407,56472.0341569376,93724.5521521329,58301.2995388634,102521.209014661,88420.1323251811,66632.0952540099,115394.9482462,34714.4556614111,80236.301007741,48036.3722863151,331203.204012032,57323.1232161896,62782.186075628,42116.7317071119
"(2E,5E,12Z,15Z)-1-Hydroxy-2,5,12,15-heneicosatetraen-4-one",30799.3619123093,15535.7612190143,43350.4727076537,41343.0187241874,20049.2142584189,21783.5507845722,15103.0465350978,25184.4650890718,14926.75,10117.8827367014,28371.5817399787,16129.8994374609,7532.73201085085,14570.6318716277,6162.97903787242,8933.15412375101,16722.6955829687,9337.15902938322,35509.8551160602,21292.1551299269,23235.3054706369,48192.0465926113,36808.907482932,52670.2887807045,29888.8637489543,9859.65498545767,19311.7231670414,19761.4557618205,24694.1295431349,12361.6603243048,8403.86252116751,17912.6550851589,7071.55085870297,26781.040460581,11454.4710624263,9520.17859874636
"(2E,5Z,7E)-Decatrienoylcarnitine",17326.472129308,10757.2417614716,15191.0043206311,31437.5094931243,31164.5027525539,29116.2455448078,18760.3257094799,19136.8017647972,15847.2313116511,19108.479665241,36455.6151387998,40265.5476594783,12396.3151348327,14005.9041758612,14557.4295470833,17669.3372180349,9612.04152836988,10412.7639239115,17106.9748743121,14737.4016217648,21775.6866366623,19853.3083406076,23447.3465693797,21138.5226551623,16666.2127839797,19218.9133751406,20351.3227013555,21287.1538866609,26496.0662615171,23787.0122618304,20001.0821300002,15649.5905145925,15917.751562806,14200.6188198909,17900.1867401108,10599.6729496917
"(2e)-3-(4-acetoxy-2,3-dihydroxy-2,5,5,8a-tetramethyldecahydro-1-naphthalenyl)acrylic acid isomer",25023.7811410827,13034.7242666928,132597.845874821,39222.2155959475,38321.0233811378,37620.78760871,3279.73382869845,44359.9508568156,41031.0972495973,184336.919185431,32573.3050293203,72815.2605496039,3033.86721853463,82899.1573509416,29623.0935349139,228664.840232103,15571.2556171375,79583.4872771604,103388.911390178,42950.8221992651,381493.906497843,74782.2573967777,98938.0849365327,223161.24094974,7882.25932450456,41895.7145618091,84152.4959182002,203743.262036718,49192.1924951518,50968.9717269337,125361.988033376,68444.2361681515,55985.2618301137,140468.733467296,139856.858724327,40412.330089501
